Id,Nombre,Apellido,Edad,Correo electronico,Profesion
1,Juan,Perez,32,jperez@gmail.com,medico
2,Maria,Gomez,28,mgomez@gmail.com,abogado
3,Carlos,Sánchez,45,csanchez@gmail.com,ingeniero
4,Ana,Ruiz,36,aruiz@gmail.com,arquitecta
5,Luis,Martínez,29,lmartinez@gmail.com,profesor
6,Laura,Domínguez,41,ldominguez@gmail.com,enfermera
7,Pedro,Fernández,33,pfernandez@gmail.com,diseñador
8,Lucía,Ramos,26,lramos@gmail.com,psicóloga
9,Diego,Navarro,39,dnavarro@gmail.com,empresario
10,Paula,Hernández,31,phernandez@gmail.com,publicista
11,Andrés,García,34,andresgarcia@gmail.com,contador y ingeniero
